testId,category,query,priorFixture,priorExpectedClassification,applicability,executionStatus,sourceScanCount,sourceScanMembershipHash,screenshot,notes
"A-001","A","all","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","307345","9995b6d7acc8eaab70000a8949a72ef96070d799b7c7304e29e50f2b5285c68d","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-002","A","none","tests/fixtures/mini-protein.pdb","VALID_EMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-003","A","enabled","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-004","A","present","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-005","A","visible","tests/fixtures/mini-protein.pdb","MISSING_DEPENDENCY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-006","A","polymer","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","301988","4ca24d7ced3445b4dea6b0c6e98ef781429875e5d769896c764eebd87b6eee21","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-007","A","polymer.protein","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","95280","aaad321cfbb8dc3954c7f5270406fd8e9b08ba29483469976afb574d24dba050","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-008","A","polymer.nucleic","tests/fixtures/mini-protein.pdb","MISSING_DEPENDENCY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","206708","d3cc144495cca38375ab08bba51c00272ea337df5c24b294d427c521f11a9e9d","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-009","A","organic","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-010","A","inorganic","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","5351","239fd4e382b3375290cf18c1afbc0bec427379e5eb1c7146e552247eefe25c02","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-011","A","solvent","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","6","ac4eb51c83dd565771f0514c9873aa089c0e45a0fada0db6ef4534b1e91654b8","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-012","A","metals","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","5351","239fd4e382b3375290cf18c1afbc0bec427379e5eb1c7146e552247eefe25c02","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-013","A","hydrogens","tests/fixtures/mini-protein.pdb","VALID_EMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-014","A","hetatm","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","5531","e94cac1259fab2c18877e2447a17cb9944b037b8077949505f8737e9fde35c1c","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-015","A","backbone","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","197622","4c82558c85634ae641567a8a3c65938f4519f70fe0e894806463e8653c18e2bf","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-016","A","sidechain","tests/fixtures/mini-protein.pdb","VALID_EMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-017","A","guide","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","21574","23d0402a3801d874d02b152ef71bf364db58cdcd2abcda6c709b1baed32eb2bf","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-018","A","bonded","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-019","A","donors","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"A-020","A","acceptors","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AA-001","AA","show cartoon, polymer.protein","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AA-002","AA","rep cartoon","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AA-003","AA","hide cartoon, polymer.protein","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AA-004","AA","rep cartoon","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AB-001","AB","color blue, chain A","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AB-002","AB","color blue","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AB-003","AB","color red, chain A","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AB-004","AB","color blue","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AB-005","AB","color red","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AC-001","AC","select active_site, byres (polymer.protein within 4 of organic)","tests/fixtures/mini-protein.pdb","UNKNOWN_PROPERTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AC-002","AC","active_site","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AC-003","AC","%active_site","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AC-004","AC","?active_site","tests/fixtures/mini-protein.pdb","VALID_EMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AC-005","AC","?does_not_exist","tests/fixtures/mini-protein.pdb","VALID_EMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AD-001","AD","select ligand_test, organic","tests/fixtures/mini-protein.pdb","UNKNOWN_PROPERTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AD-002","AD","select pocket_test, byres (polymer.protein within 4 of ligand_test)","tests/fixtures/mini-protein.pdb","UNKNOWN_PROPERTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AD-003","AD","pocket_test and chain A","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AD-004","AD","pocket_test and name CA","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AD-005","AD","not pocket_test","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AD-006","AD","bychain pocket_test","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AE-001","AE","model mini-protein.pdb in model mini-protein.pdb","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
"AF-001","AF","model mini-protein.pdb like model mini-protein.pdb","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","APPLICABLE_TO_4V6F","BLOCKED_CANONICAL_IMPORT","","","","Canonical 4V6F identity did not complete; no browser query or screenshot is claimed."
