"path","status","category","rationale","presentInPreSealBaseline","acceptedCommitCandidate"
"apps/api/src/server.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/api/src/structures/compactCanonical.ts","??","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/api/src/structures/ingestion.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/api/src/structures/ingestionProfiler.ts","??","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/App.tsx","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/components/ConsolePanel.tsx","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/components/InspectorPanel.tsx","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/components/MolecularCanvas.tsx","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/components/StatusBar.tsx","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/components/StructurePanel.tsx","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/editing/editFoundation.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/interaction/picking.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/lib/apiClient.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/rendering/presentationState.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/rendering/styleProfiles.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/rendering/ThreeDMolViewerAdapter.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/selection/compactSelectionEngine.ts","??","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/selection/selectionEngine.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/structures/compactCanonical.ts","??","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"apps/web/src/workspace/workspaceModel.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"outputs/server-dev.err.log","??","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"outputs/server-dev.out.log","??","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"packages/contracts/src/index.ts","M","A. ACCEPTED_CORE_IMPLEMENTATION","Production dependency in the accepted compact-ingestion/selection implementation and provenance fingerprint.","True","True"
"verification/evidence/analysis-interaction-scroll.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/closure-empty-state.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/closure-rcsb-1crn-cartoon.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/closure-responsive-canvas.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/closure-uploaded-cartoon-ligand-sticks.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/final-pymol-acceptance/16-cross-feature/01-camera-color-selection.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/final-pymol-acceptance/16-cross-feature/02-r07-r08-r09-r10.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-01/vdw-after-rotation.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-01/vdw-surface-visible.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-01/view-orthographic.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/01-4djw-only-fit-console-expanded.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/02-4djw-only-fit-console-collapsed.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/03-4djw-centered-after-pan.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/04-4djw-one-atom-selection-global-center.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/05-4djw-rotation-angle-1.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/06-4djw-rotation-angle-2.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/07-4djw-rotation-angle-3.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/08-4djw-orthographic-fit.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/09-1crn-only-fit.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/10-two-objects-fit.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/11-console-overlay-full-canvas.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-02/12-post-resize-fit-1366x768.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/01-single-atom.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/02-residue.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/03-chain.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/04-ligand.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/05-large-selection.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/06-clear-selection.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/07-multi-object-isolation.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/08-selected-after-rotation.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03-selection/09-selected-after-representation-change.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/01-residue-autofocus.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/02-residue-emphasis.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/03-chain-cartoon.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/04-chain-stick.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/05-chain-ball-stick.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/06-ligand-focus.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/07-ligand-representation-change.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/08-selection-color-change.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/09-clear-restored.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/manual-gate-03b-selection/10-multi-object-scope.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/r07-b2/bond-order-replacement.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/r07-b2/delete-selected.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
"verification/evidence/r07-b3/hydrogen-addition.png","M","F. BULK_EVIDENCE — DO NOT COMMIT","Bulk evidence, runtime output, or generated artifact; retained locally/external and excluded.","True","False"
