test_id,query,fixture,Mole parser,PyMOL parser,Mole count,PyMOL count,Mole hash,PyMOL hash,exact membership,visual pass,final status,notes
"A-001","all","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","12","","99a8d7c32b17ac977b722304d827f56c408975b3352922a9d01184bceb7a5e13","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-002","none","tests/fixtures/mini-protein.pdb","EMPTY_VALID","BLOCKED","0","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-003","enabled","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","12","","99a8d7c32b17ac977b722304d827f56c408975b3352922a9d01184bceb7a5e13","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-004","present","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","12","","99a8d7c32b17ac977b722304d827f56c408975b3352922a9d01184bceb7a5e13","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-005","visible","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","11","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-006","polymer","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","8","","db7a0b7cd9058b0e5113319a7afd4af55512970b434dba6d5f140441ad426c6b","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-007","polymer.protein","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","8","","db7a0b7cd9058b0e5113319a7afd4af55512970b434dba6d5f140441ad426c6b","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-008","polymer.nucleic","tests/fixtures/mini-protein.pdb","IMPLEMENTED_WITH_LIMITATION","BLOCKED","0","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-009","organic","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","2","","ca1ac9be36fba3e743490eff671bb5ab7e4d99ffa51d365f2b20957c37684cce","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-010","inorganic","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","1","","22213cf5f1bfd4a0502c624daa8c7803fc7d891ab2ce2e64beaf33bd9454c457","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-011","solvent","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","1","","e799ff348dde1e4388ebbdc1c60d8a5e11b73d4819b3158c8723f4aa39f08d79","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-012","metals","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","1","","22213cf5f1bfd4a0502c624daa8c7803fc7d891ab2ce2e64beaf33bd9454c457","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-013","hydrogens","tests/fixtures/mini-protein.pdb","EMPTY_VALID","BLOCKED","0","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-014","hetatm","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","4","","757c641463bce553173c47776a2243ae319e5c25a92c72ba1522e746531f8eb1","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-015","backbone","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","8","","db7a0b7cd9058b0e5113319a7afd4af55512970b434dba6d5f140441ad426c6b","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-016","sidechain","tests/fixtures/mini-protein.pdb","EMPTY_VALID","BLOCKED","0","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-017","guide","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","2","","9ba050f9ce4cf7f672482af26a620ced163d6be93ffafb40b406c6ee1f7251ae","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-018","bonded","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","10","","abb4eab01537e2802416e8c495532859f97ece8eb0eb342bd9dc3e3db4b2fd38","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-019","donors","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","7","","8d712e59cd200eca382c3e2f891b491ec587e067a7aece016fd3b81afbc7173e","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"A-020","acceptors","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","4","","6388b279196c13c69d9a55ff0a36fa576f842d52cc8ece86bb1c7027d80c8fd9","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"AC-001","select active_site, byres (polymer.protein within 4 of organic)","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","8","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"AC-002","active_site","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","8","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"AC-003","%active_site","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","8","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"AC-004","?active_site","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","8","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"AC-005","?does_not_exist","tests/fixtures/mini-protein.pdb","EMPTY_VALID","BLOCKED","0","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
"AD-001","select ligand_test, organic","tests/fixtures/mini-protein.pdb","PASS","BLOCKED","2","","4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945","","false","true","BLOCKED_PYMOL","Pinned PyMOL runtime is unavailable in this environment; exact comparison was not fabricated."
