local_path,filename,bytes,sha256,drive_root,drive_folder,drive_status,drive_verified,drive_path,notes
"verification/selection-exhaustive/evidence/AA/AA-001__PASS.png","AA-001__PASS.png","310855","91a726ad67c18ff5d5bde49d736203efd2ec4b43489ae89aad0464badc963d2d","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1fvpthWnR9hRujGA7N0lU8MohUW2GA9dz/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AA/AA-002__PASS.png","AA-002__PASS.png","308421","36c08f6612f8212d28fe30267efd69dfaf356934b9b15b0f95febccde095504e","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/17vsbXSX7ulQzWMsTwHzthhMUjk_rdGuk/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AA/AA-003__PASS.png","AA-003__PASS.png","308328","ef61211813e3502cd56fd86a75b3863e337dce8e84f70754dbc0d51e9c202464","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1h7OTvKXP0T_sxWls44z6F-Q5NKMDBLHk/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AA/AA-004__EMPTY_VALID.png","AA-004__EMPTY_VALID.png","297829","13e1a098ba1905ce35ee618040a39704c6812009a553df3f5d853e2c375aeef0","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1efznYS9m8pfncwk6MyzYMF_n4w2S63ek/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AB/AB-001__PASS.png","AB-001__PASS.png","297437","704a8eb8b735a4f8a014fa715e9048bfe382e283288aeaa1bbd61494ef5dd604","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1iM1wJ5-wMKtAg5rvZDG31PErHiWAKxeq/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AB/AB-002__PASS.png","AB-002__PASS.png","297086","49040a3b12e8fd29df9ae0214f711490cd949996437d72123c1d38ed9a96da0c","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1j746xR7zUo7dCIi5eWEPzRYbTD-SEG1G/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AB/AB-003__PASS.png","AB-003__PASS.png","297131","8c3914f57b439946dc1e134010139e35b7be4ebcc3bbf396aaba807a63932138","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1QUY0q_4Ozp_sHqHMEIllFqd7d0eGzVyJ/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AB/AB-004__PASS.png","AB-004__PASS.png","297107","653a60c18deef50f21dfcf1fb66a0a2f9afd96e111bfc3e55a69f9c485faeadb","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1Epa7dO-TvPbOGE2JaVfiZuOrmXqaPxIA/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AB/AB-005__PASS.png","AB-005__PASS.png","297102","0ec26dbb043ee4a903e4a3daf2d11d8d232574c2c8fe8b860ef1d16347709815","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1K0INtuv9l5bdegmEYFCQoNRAx3fc1vxY/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AC/AC-001__PASS.png","AC-001__PASS.png","307953","0a484a65b06346566eb846aaa0a7df311245e913f030bca36a75f153ee7da237","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1qdvD6vwFOOPUiHtY3ezgftWkEdMkp_ZW/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
"verification/selection-exhaustive/evidence/AC/AC-002__PASS.png","AC-002__PASS.png","309870","37c30acc8396718f80bd3307ac155e8a103e58ef138ae805fac08a95f08d45b2","MOLEXPLORER_SELECTION_A_BF_468AA79DBEC6F723","61_SCREENSHOTS","DRIVE_VERIFIED","true","https://drive.google.com/file/d/1T2AG-qPLk_uFjCYIo-XvXVcz6o8NiVyr/view?usp=drivesdk","Uploaded and verified by Google Drive folder readback."
