test_id,category,query,fixture,expected_classification,actual_classification,actual_count,programmatic_count,mole_hash,canonical_sha256,visual_pass,screenshot,duration_ms,notes
"A-001","A","all","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","12","12","","","true","verification/selection-exhaustive/evidence/A/A-001__PASS.png","8100",""
"A-002","A","none","tests/fixtures/mini-protein.pdb","VALID_EMPTY","EMPTY_VALID","0","0","","","true","verification/selection-exhaustive/evidence/A/A-002__EMPTY_VALID.png","913",""
"A-003","A","enabled","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","12","12","","","true","verification/selection-exhaustive/evidence/A/A-003__PASS.png","1845",""
"A-004","A","present","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","12","12","","","true","verification/selection-exhaustive/evidence/A/A-004__PASS.png","1501",""
"A-005","A","visible","tests/fixtures/mini-protein.pdb","MISSING_DEPENDENCY","PASS","11","0","","","true","verification/selection-exhaustive/evidence/A/A-005__PASS.png","1513",""
"A-006","A","polymer","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","8","8","","","true","verification/selection-exhaustive/evidence/A/A-006__PASS.png","1510",""
"A-007","A","polymer.protein","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","8","8","","","true","verification/selection-exhaustive/evidence/A/A-007__PASS.png","1490",""
"A-008","A","polymer.nucleic","tests/fixtures/mini-protein.pdb","MISSING_DEPENDENCY","IMPLEMENTED_WITH_LIMITATION","0","0","","","true","verification/selection-exhaustive/evidence/A/A-008__IMPLEMENTED_WITH_LIMITATION.png","507",""
"A-009","A","organic","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","2","2","","","true","verification/selection-exhaustive/evidence/A/A-009__PASS.png","1459",""
"A-010","A","inorganic","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","1","1","","","true","verification/selection-exhaustive/evidence/A/A-010__PASS.png","1522",""
"A-011","A","solvent","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","1","1","","","true","verification/selection-exhaustive/evidence/A/A-011__PASS.png","1503",""
"A-012","A","metals","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","1","1","","","true","verification/selection-exhaustive/evidence/A/A-012__PASS.png","1470",""
"A-013","A","hydrogens","tests/fixtures/mini-protein.pdb","VALID_EMPTY","EMPTY_VALID","0","0","","","true","verification/selection-exhaustive/evidence/A/A-013__EMPTY_VALID.png","645",""
"A-014","A","hetatm","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","4","4","","","true","verification/selection-exhaustive/evidence/A/A-014__PASS.png","1474",""
"A-015","A","backbone","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","8","8","","","true","verification/selection-exhaustive/evidence/A/A-015__PASS.png","1373",""
"A-016","A","sidechain","tests/fixtures/mini-protein.pdb","VALID_EMPTY","EMPTY_VALID","0","0","","","true","verification/selection-exhaustive/evidence/A/A-016__EMPTY_VALID.png","631",""
"A-017","A","guide","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","2","2","","","true","verification/selection-exhaustive/evidence/A/A-017__PASS.png","1422",""
"A-018","A","bonded","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","10","10","","","true","verification/selection-exhaustive/evidence/A/A-018__PASS.png","1433",""
"A-019","A","donors","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","7","7","","","true","verification/selection-exhaustive/evidence/A/A-019__PASS.png","1602",""
"A-020","A","acceptors","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","4","4","","","true","verification/selection-exhaustive/evidence/A/A-020__PASS.png","1532",""
"AA-001","AA","show cartoon, polymer.protein","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","PASS","8","","","","true","verification/selection-exhaustive/evidence/AA/AA-001__PASS.png","1404",""
"AA-002","AA","rep cartoon","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","PASS","8","","","","true","verification/selection-exhaustive/evidence/AA/AA-002__PASS.png","1535",""
"AA-003","AA","hide cartoon, polymer.protein","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","PASS","8","","","","true","verification/selection-exhaustive/evidence/AA/AA-003__PASS.png","1507",""
"AA-004","AA","rep cartoon","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","EMPTY_VALID","0","","","","true","verification/selection-exhaustive/evidence/AA/AA-004__EMPTY_VALID.png","590",""
"AB-001","AB","color blue, chain A","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","PASS","11","","","","true","verification/selection-exhaustive/evidence/AB/AB-001__PASS.png","1235",""
"AB-002","AB","color blue","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","PASS","12","","","","true","verification/selection-exhaustive/evidence/AB/AB-002__PASS.png","1253",""
"AB-003","AB","color red, chain A","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","PASS","11","","","","true","verification/selection-exhaustive/evidence/AB/AB-003__PASS.png","1417",""
"AB-004","AB","color blue","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","PASS","12","","","","true","verification/selection-exhaustive/evidence/AB/AB-004__PASS.png","1288",""
"AB-005","AB","color red","tests/fixtures/mini-protein.pdb","COMMAND_HANDLED","PASS","12","","","","true","verification/selection-exhaustive/evidence/AB/AB-005__PASS.png","1431",""
"AC-001","AC","select active_site, byres (polymer.protein within 4 of organic)","tests/fixtures/mini-protein.pdb","UNKNOWN_PROPERTY","PASS","8","0","","","true","verification/selection-exhaustive/evidence/AC/AC-001__PASS.png","2090",""
"AC-002","AC","active_site","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","PASS","8","0","","","true","verification/selection-exhaustive/evidence/AC/AC-002__PASS.png","1557",""
"AC-003","AC","%active_site","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","PASS","8","0","","","true","verification/selection-exhaustive/evidence/AC/AC-003__PASS.png","1540",""
"AC-004","AC","?active_site","tests/fixtures/mini-protein.pdb","VALID_EMPTY","PASS","8","0","","","true","verification/selection-exhaustive/evidence/AC/AC-004__PASS.png","1345",""
"AC-005","AC","?does_not_exist","tests/fixtures/mini-protein.pdb","VALID_EMPTY","EMPTY_VALID","0","0","","","true","verification/selection-exhaustive/evidence/AC/AC-005__EMPTY_VALID.png","620",""
"AD-001","AD","select ligand_test, organic","tests/fixtures/mini-protein.pdb","UNKNOWN_PROPERTY","PASS","2","0","","","true","verification/selection-exhaustive/evidence/AD/AD-001__PASS.png","2048",""
"AD-002","AD","select pocket_test, byres (polymer.protein within 4 of ligand_test)","tests/fixtures/mini-protein.pdb","UNKNOWN_PROPERTY","PASS","8","0","","","true","verification/selection-exhaustive/evidence/AD/AD-002__PASS.png","2251",""
"AD-003","AD","pocket_test and chain A","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","PASS","8","0","","","true","verification/selection-exhaustive/evidence/AD/AD-003__PASS.png","1500",""
"AD-004","AD","pocket_test and name CA","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","PASS","2","0","","","true","verification/selection-exhaustive/evidence/AD/AD-004__PASS.png","1409",""
"AD-005","AD","not pocket_test","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","PASS","4","12","","","true","verification/selection-exhaustive/evidence/AD/AD-005__PASS.png","1557",""
"AD-006","AD","bychain pocket_test","tests/fixtures/mini-protein.pdb","UNKNOWN_NAME","PASS","11","0","","","true","verification/selection-exhaustive/evidence/AD/AD-006__PASS.png","1387",""
"AE-001","AE","model mini-protein.pdb in model mini-protein.pdb","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","12","12","","","true","verification/selection-exhaustive/evidence/AE/AE-001__PASS.png","1437",""
"AF-001","AF","model mini-protein.pdb like model mini-protein.pdb","tests/fixtures/mini-protein.pdb","VALID_NONEMPTY","PASS","12","12","","","true","verification/selection-exhaustive/evidence/AF/AF-001__PASS.png","1576",""
"AG-001","AG","chain ZZZ","tests/fixtures/mini-protein.pdb","VALID_EMPTY","EMPTY_VALID","0","0","","","true","verification/selection-exhaustive/evidence/AG/AG-001__EMPTY_VALID.png","632",""
"AG-002","AG","resi 999999","tests/fixtures/mini-protein.pdb","VALID_EMPTY","EMPTY_VALID","0","0","","","true","verification/selection-exhaustive/evidence/AG/AG-002__EMPTY_VALID.png","674",""
"AG-003","AG","resn ZZZ","tests/fixtures/mini-protein.pdb","VALID_EMPTY","EMPTY_VALID","0","0","","","true","verification/selection-exhaustive/evidence/AG/AG-003__EMPTY_VALID.png","693",""
